Manzana	Lote	Superficie Privativa	Estatus	Categoría	Precio m2
	42	 1,009.37 	DISPONIBLE	Plus	355
	43	 1,009.37 	DISPONIBLE	Plus	355
	44	 1,052.25 	DISPONIBLE	Plus	355
	45	 1,105.97 	DISPONIBLE	Plus	355
	46	 1,049.15 	DISPONIBLE	Plus	355
	47	 1,016.07 	DISPONIBLE	Plus	355
	48	 1,071.87 	DISPONIBLE	Plus	355
	49	 1,000.00 	DISPONIBLE	Plus	355
Y	1	 1,281.70 	DISPONIBLE	Plus	355
	2	 1,000.00 	VENDIDO	Plus	355
	3	 1,000.00 	DISPONIBLE	Plus	355
	4	 1,000.00 	DISPONIBLE	Plus	355
	5	 1,000.00 	DISPONIBLE	Plus	355
	6	 1,000.00 	DISPONIBLE	Plus	355
	7	 1,000.00 	DISPONIBLE	Plus	355
	8	 1,000.00 	DISPONIBLE	Plus	355
	9	 1,038.64 	VENDIDO	Plus	355
	10	 1,408.78 	DISPONIBLE	Plus	355
	11	 1,496.99 	DISPONIBLE	Plus	355
	12	 1,146.48 	DISPONIBLE	Plus	355
	13	 1,240.73 	DISPONIBLE	Plus	355
	14	 1,176.40 	DISPONIBLE	Plus	355
	15	 1,519.77 	DISPONIBLE	Plus	355
Z	1	 1,506.34 	DISPONIBLE	Plus	355
	2	 1,240.00 	DISPONIBLE	Plus	355
	3	 1,000.00 	DISPONIBLE	Plus	355
	4	 1,000.00 	VENDIDO	Plus	355
	5	 1,000.00 	DISPONIBLE	Plus	355
	6	 1,000.00 	DISPONIBLE	Plus	355
	7	 1,000.00 	DISPONIBLE	Plus	355
	8	 1,000.00 	DISPONIBLE	Plus	355
	9	 1,000.00 	DISPONIBLE	Plus	355
	10	 1,000.00 	DISPONIBLE	Plus	355
	11	 1,000.00 	DISPONIBLE	Plus	355
	12	 1,000.00 	DISPONIBLE	Plus	355
	13	 1,000.00 	DISPONIBLE	Plus	355
	14	 1,000.00 	DISPONIBLE	Plus	355
	15	 1,000.00 	DISPONIBLE	Plus	355
	16	 1,000.00 	DISPONIBLE	Plus	355
	17	 1,000.00 	DISPONIBLE	Plus	355
	18	 1,000.00 	DISPONIBLE	Plus	355
	19	 1,000.00 	RESERVADO	Plus	355
	20	 1,047.62 	RESERVADO	Plus	355
	21	 1,183.02 	RESERVADO	Plus	355
	22	 1,000.00 	VENDIDO	Plus	355
	23	 1,000.00 	DISPONIBLE	Plus	355
	24	 1,000.00 	DISPONIBLE	Plus	355
	25	 1,000.00 	DISPONIBLE	Plus	355
	26	 1,000.00 	DISPONIBLE	Plus	355
	27	 1,000.00 	DISPONIBLE	Plus	355
	28	 1,000.00 	DISPONIBLE	Plus	355
	29	 1,000.00 	DISPONIBLE	Plus	355
	30	 1,000.00 	DISPONIBLE	Plus	355
	31	 1,000.00 	DISPONIBLE	Plus	355
	32	 1,000.00 	DISPONIBLE	Plus	355
	33	 1,000.00 	DISPONIBLE	Plus	355
	34	 1,000.00 	DISPONIBLE	Plus	355
	35	 1,000.00 	DISPONIBLE	Plus	355
	36	 1,000.00 	DISPONIBLE	Plus	355
	37	 1,000.00 	DISPONIBLE	Plus	355
	38	 1,200.00 	DISPONIBLE	Plus	355
	39	 1,565.40 	DISPONIBLE	Plus	355
AA	1	 1,993.38 	DISPONIBLE	Plus	355
	2	 1,192.64 	DISPONIBLE	Plus	355
	3	 1,131.71 	DISPONIBLE	Plus	355
	4	 1,316.29 	DISPONIBLE	Plus	355
	5	 1,163.62 	DISPONIBLE	Plus	355
	6	 1,494.33 	DISPONIBLE	Plus	355
	7	 1,337.69 	DISPONIBLE	Plus	355
	8	 1,136.10 	DISPONIBLE	Plus	355
	9	 1,066.56 	DISPONIBLE	Plus	355
	10	 1,001.87 	DISPONIBLE	Plus	355
	11	 1,003.87 	DISPONIBLE	Plus	355
	12	 1,001.20 	DISPONIBLE	Plus	355
AB	1	 1,071.68 	DISPONIBLE	Plus	355
	2	 1,111.03 	DISPONIBLE	Media Plus	355
	3	 1,074.06 	DISPONIBLE	Media Plus	355
	4	 1,019.84 	DISPONIBLE	Media Plus	355
	5	 1,006.96 	DISPONIBLE	Media Plus	355
	6	 1,182.75 	DISPONIBLE	Media Plus	355
	7	 1,380.54 	DISPONIBLE	Media Plus	355
	8	 1,240.41 	DISPONIBLE	Media Plus	355
	9	 1,061.24 	DISPONIBLE	Media Plus	355
	10	 1,178.97 	DISPONIBLE	Media Plus	355
	11	 1,057.80 	DISPONIBLE	Media Plus	355
	12	 1,436.48 	DISPONIBLE	Plus	355
	13	 1,034.70 	DISPONIBLE	Media Plus	355
	14	 1,035.50 	DISPONIBLE	Media Plus	355
	15	 1,466.44 	DISPONIBLE	Media Plus	355
	16	 1,533.44 	DISPONIBLE	Media Plus	355
	17	 1,035.88 	DISPONIBLE	Media Plus	355
	18	 1,028.04 	DISPONIBLE	Media Plus	355
	19	 1,107.88 	DISPONIBLE	Plus	355
AC	1	 1,058.54 	DISPONIBLE	Media Plus	295
	2	 1,000.00 	DISPONIBLE	Media Plus	295
	3	 1,000.00 	DISPONIBLE	Media Plus	295
	4	 1,000.00 	DISPONIBLE	Media Plus	295
	5	 1,000.00 	DISPONIBLE	Media Plus	295
	6	 1,000.00 	DISPONIBLE	Media Plus	295
	7	 1,000.00 	DISPONIBLE	Media Plus	295
	8	 1,634.01 	DISPONIBLE	Media Plus	295
	9	 1,634.01 	DISPONIBLE	Media Plus	295
	10	 1,000.00 	DISPONIBLE	Media Plus	295
	11	 1,000.00 	DISPONIBLE	Media Plus	295
	12	 1,000.00 	DISPONIBLE	Media Plus	295
	13	 1,000.00 	DISPONIBLE	Media Plus	295
	14	 1,000.00 	DISPONIBLE	Media Plus	295
	15	 1,000.00 	DISPONIBLE	Media Plus	295
	16	 1,058.54 	DISPONIBLE	Media Plus	295
	17	 1,000.00 	DISPONIBLE	Media Plus	295
	18	 1,230.17 	DISPONIBLE	Plus	355
	19	 1,671.54 	DISPONIBLE	Media Plus	295
	20	 1,345.40 	DISPONIBLE	Media Plus	295
	21	 3,075.14 	DISPONIBLE	Media Plus	295
	22	 1,345.40 	DISPONIBLE	Media Plus	295
	23	 1,671.54 	DISPONIBLE	Media Plus	295
	24	 1,233.67 	DISPONIBLE	Plus	355
	25	 1,000.00 	DISPONIBLE	Media Plus	295
AD	1	 1,543.04 	DISPONIBLE	Media Plus	295
	2	 1,296.28 	DISPONIBLE	Media Plus	295
	3	 1,296.28 	DISPONIBLE	Media Plus	295
	4	 1,543.04 	DISPONIBLE	Media Plus	295
AE	1	 1,145.87 	DISPONIBLE	Plus	355
	2	 1,000.00 	DISPONIBLE	Plus	355
	3	 1,000.00 	DISPONIBLE	Plus	355
	4	 1,204.58 	DISPONIBLE	Plus	355
	5	 1,598.16 	DISPONIBLE	Plus	355
	6	 1,911.83 	DISPONIBLE	Plus	355
	7	 1,000.00 	DISPONIBLE	Media Plus	295
	8	 1,378.54 	DISPONIBLE	Media Plus	295
	9	 1,500.00 	DISPONIBLE	Media Plus	295
	10	 1,494.75 	DISPONIBLE	Plus	355
	11	 1,168.79 	DISPONIBLE	Plus	355
AF	1	 1,176.18 	DISPONIBLE	Plus	355
	2	 1,293.03 	DISPONIBLE	Plus	355
	3	 1,293.03 	DISPONIBLE	Plus	355
	4	 1,396.36 	DISPONIBLE	Plus	355
	5	 1,724.52 	DISPONIBLE	Plus	355
	6	 1,383.12 	DISPONIBLE	Plus	355
	7	 1,000.49 	DISPONIBLE	Plus	355
	8	 1,003.59 	DISPONIBLE	Plus	355
	9	 1,776.37 	DISPONIBLE	Plus	355
	10	 1,865.26 	DISPONIBLE	Plus	355
	11	 1,317.37 	DISPONIBLE	Plus	355
	12	 1,013.51 	DISPONIBLE	Plus	355
	13	 1,001.13 	DISPONIBLE	Plus	355
	14	 1,217.18 	DISPONIBLE	Plus	355
AG	1	 1,171.28 	DISPONIBLE	Plus	355
	2	 1,112.00 	VENDIDO	Media  	265
	3	 1,112.00 	VENDIDO	Media  	265
	4	 1,112.01 	DISPONIBLE	Media  	265
	5	 1,112.01 	DISPONIBLE	Media  	265
	6	 1,112.01 	DISPONIBLE	Media  	265
	7	 1,112.01 	DISPONIBLE	Media  	265
	8	 1,112.01 	DISPONIBLE	Media  	265
	9	 1,112.01 	DISPONIBLE	Media  	265
	10	 1,112.01 	DISPONIBLE	Media  	265
	11	 1,112.00 	VENDIDO	Media  	265
	12	 1,111.98 	DISPONIBLE	Media  	265
	13	 1,112.18 	DISPONIBLE	Media  	265
	14	 1,112.00 	DISPONIBLE	Media  	265
	15	 1,112.01 	DISPONIBLE	Media  	265
	16	 1,030.39 	DISPONIBLE	Media  	265
	17	 1,087.49 	DISPONIBLE	Media  	265
	18	 1,087.49 	DISPONIBLE	Media  	265
	19	 1,087.49 	DISPONIBLE	Media  	265
	20	 1,054.04 	RESERVADO	Media  	265
	21	 1,026.02 	DISPONIBLE	Media  	265
	22	 1,026.02 	RESERVADO	Media  	265
	23	 1,026.02 	RESERVADO	Media  	265
	24	 1,026.02 	RESERVADO	Media  	265
	25	 1,026.02 	DISPONIBLE	Media  	265
	26	 1,026.02 	VENDIDO	Media  	265
	27	 1,026.02 	RESERVADO	Media  	265
	28	 1,443.16 	RESERVADO	Plus	355
	29	 1,573.07 	DISPONIBLE	Plus	355
	30	 1,077.97 	DISPONIBLE	 Media   	265
	31	 1,077.94 	DISPONIBLE	Media  	265
	32	 1,077.97 	DISPONIBLE	Media  	265
	33	 1,077.97 	DISPONIBLE	Media  	265
	34	 1,077.97 	DISPONIBLE	Media  	265
	35	 1,019.97 	VENDIDO	Media  	265
	36	 1,007.97 	VENDIDO	Media  	265
	37	 1,003.24 	DISPONIBLE	Media  	265
	38	 1,000.00 	VENDIDO	Media  	265
	39	 1,010.17 	DISPONIBLE	Media  	265
	40	 1,010.08 	DISPONIBLE	Media  	265
	41	 1,008.60 	DISPONIBLE	Media  	265
	42	 1,011.50 	DISPONIBLE	Media  	265
	43	 1,091.50 	DISPONIBLE	Media  	265
	44	 1,091.50 	DISPONIBLE	Media  	265
	45	 1,091.50 	DISPONIBLE	Media  	265
	46	 1,091.50 	DISPONIBLE	Media  	265
	47	 1,091.50 	DISPONIBLE	Media  	265
	48	 1,091.50 	DISPONIBLE	Media  	265
	49	 1,091.50 	DISPONIBLE	Media  	265
	50	 1,091.50 	DISPONIBLE	Media  	265
	51	 1,091.50 	DISPONIBLE	Media  	265
	52	 1,091.50 	DISPONIBLE	Media  	265
	53	 1,091.50 	DISPONIBLE	Media  	265
	54	 1,091.50 	DISPONIBLE	Media  	265
	55	 1,091.50 	DISPONIBLE	Media  	265
	56	 1,091.50 	DISPONIBLE	Media  	265
	57	 1,091.50 	DISPONIBLE	Media  	265
	58	 1,091.50 	DISPONIBLE	Media  	265
	59	 1,143.87 	DISPONIBLE	Plus	355
AH	1	 1,701.20 	RESERVADO	Plus	355
	2	 1,000.00 	DISPONIBLE	Plus	355
	3	 1,000.00 	DISPONIBLE	Plus	355
	4	 1,000.00 	DISPONIBLE	Plus	355
	5	 1,000.00 	DISPONIBLE	Plus	355
	6	 1,182.79 	DISPONIBLE	Plus	355
	7	 1,532.46 	DISPONIBLE	Plus	355
	8	 1,346.63 	DISPONIBLE	Plus	355
	9	 2,050.20 	DISPONIBLE	Plus	355
	10	 1,346.54 	DISPONIBLE	Plus	355
	11	 1,000.00 	DISPONIBLE	Plus	355
	12	 1,245.42 	DISPONIBLE	Plus	355
	13	 1,314.77 	DISPONIBLE	Plus	355
	14	 1,000.00 	DISPONIBLE	Plus	355
	15	 1,000.00 	DISPONIBLE	Plus	355
	16	 1,000.00 	DISPONIBLE	Plus	355
	17	 1,000.00 	DISPONIBLE	Plus	355
	18	 1,000.00 	DISPONIBLE	Plus	355
	19	 1,000.00 	DISPONIBLE	Plus	355
	20	 1,137.16 	RESERVADO	Plus	355
AI	1	 1,468.24 	RESERVADO	Plus	355
	2	 1,125.00 	RESERVADO	Plus	355
	3	 1,125.00 	DISPONIBLE	Plus	355
	4	 1,125.00 	DISPONIBLE	Plus	355
	5	 1,125.00 	DISPONIBLE	Plus	355
	6	 1,350.00 	DISPONIBLE	Plus	355
	7	 1,125.00 	DISPONIBLE	Plus	355
	8	 1,125.00 	DISPONIBLE	Plus	355
	9	 1,626.62 	DISPONIBLE	Plus	355
	10	 1,573.76 	DISPONIBLE	Plus	355
	11	 1,575.00 	DISPONIBLE	Plus	355
	12	 1,663.28 	DISPONIBLE	Plus	355
	13	 3,274.31 	DISPONIBLE	Media Plus	295
	14	 1,377.81 	DISPONIBLE	Media Plus	295
	15	 2,965.15 	DISPONIBLE	Plus	355
	16	 2,238.99 	DISPONIBLE	Plus	355
	17	 1,483.04 	RESERVADO	Plus	355
	18	 1,355.39 	DISPONIBLE	Plus	355
	19	 1,204.56 	DISPONIBLE	Plus	355
	20	 1,203.15 	DISPONIBLE	Plus	355
	21	 1,203.15 	DISPONIBLE	Plus	355
	22	 1,203.15 	DISPONIBLE	Plus	355
	23	 1,203.15 	DISPONIBLE	Plus	355
	24	 1,203.15 	DISPONIBLE	Plus	355
	25	 1,257.16 	DISPONIBLE	Plus	355
	26	 1,828.83 	RESERVADO	Media Plus	295
	27	 1,294.55 	DISPONIBLE	Plus	355
	28	 1,120.58 	DISPONIBLE	Plus	355
	29	 1,126.15 	DISPONIBLE	Plus	355
	30	 1,126.15 	DISPONIBLE	Plus	355
	31	 1,122.91 	DISPONIBLE	Plus	355
	32	 1,252.50 	RESERVADO	Plus	355
	33	 1,001.56 	RESERVADO	Plus	355
	34	 1,001.29 	DISPONIBLE	Plus	355
	35	 1,000.26 	DISPONIBLE	Plus	355
	36	 1,000.28 	DISPONIBLE	Plus	355
	37	 1,000.25 	DISPONIBLE	Plus	355
	38	 1,000.19 	DISPONIBLE	Plus	355
	39	 1,000.65 	DISPONIBLE	Plus	355
	40	 1,000.43 	DISPONIBLE	Plus	355
	41	 1,000.29 	RESERVADO	Plus	355
AJ	1	 58,568.12 	RESERVADO		
AK	1	 21,523.26 	RESERVADO		
AL	1	 29,915.94 	RESERVADO		
AM	1	 2,153.45 	VENDIDO	Plus	355
	2	 1,634.29 	DISPONIBLE	Plus	355
	3	 1,466.69 	DISPONIBLE	Plus	355
	4	 1,552.35 	DISPONIBLE	Plus	355
	5	 1,542.17 	DISPONIBLE	Plus	355
	6	 1,228.72 	VENDIDO	Plus	355
	7	 1,249.70 	VENDIDO	Plus	355
	8	 1,925.73 	APARTADO	Plus	355
	9	 1,576.04 	VENDIDO	Plus	355
		 1,344,025.56 			
