Manzana	Lote	Superficie Privativa	Estatus	Categoría	Precio m2
H	1	 1,495.73 	DISPONIBLE	Plus	355
	2	 1,500.00 	DISPONIBLE	Media Plus	295
	3	 1,500.00 	DISPONIBLE	Media Plus	295
	4	 1,500.00 	DISPONIBLE	Media Plus	295
	5	 1,500.00 	DISPONIBLE	Media Plus	295
	6	 1,500.00 	DISPONIBLE	Media Plus	295
	7	 1,500.00 	DISPONIBLE	Media Plus	295
	8	 1,500.00 	DISPONIBLE	Media Plus	295
	9	 1,500.00 	DISPONIBLE	Media Plus	295
	10	 1,500.00 	DISPONIBLE	Media Plus	295
	11	 1,500.00 	DISPONIBLE	Media Plus	295
	12	 1,500.00 	DISPONIBLE	Media Plus	295
	13	 1,500.00 	DISPONIBLE	Media Plus	295
	14	 1,500.00 	DISPONIBLE	Media Plus	295
	15	 1,674.64 	VENDIDO	Plus	355
I	1	 1,835.78 	DISPONIBLE	Plus	355
	2	 1,500.00 	DISPONIBLE	Media	265
	3	 1,500.00 	DISPONIBLE	Media	265
	4	 1,500.00 	DISPONIBLE	Media	265
	5	 1,500.00 	DISPONIBLE	Media	265
	6	 1,500.00 	DISPONIBLE	Media	265
	7	 1,500.00 	DISPONIBLE	Media	265
	8	 1,500.00 	DISPONIBLE	Media	265
	9	 1,500.00 	DISPONIBLE	Media	265
	10	 1,500.00 	DISPONIBLE	Media	265
	11	 1,500.00 	APARTADO	Media	265
	12	 1,854.53 	DISPONIBLE	Plus	355
J	1	 1,754.24 	DISPONIBLE	Media Plus	295
	2	 1,400.00 	DISPONIBLE	Media Plus	295
	3	 1,400.00 	DISPONIBLE	Media Plus	295
	4	 1,223.09 	DISPONIBLE	Media Plus	295
	5	 1,816.69 	DISPONIBLE	Media Plus	295
	6	 6,578.94 	DISPONIBLE	Media Plus	295
	7	 1,265.84 	RESERVADO	Media Plus	295
	8	 1,196.55 	RESERVADO	Media Plus	295
	9	 1,000.00 	RESERVADO	Media Plus	295
	10	 1,000.00 	RESERVADO	Media Plus	295
	11	 1,001.32 	RESERVADO	Media Plus	295
	12	 1,006.55 	DISPONIBLE	Media Plus	295
K	1	 1,099.66 	DISPONIBLE	Plus	355
	2	 1,033.95 	RESERVADO	Media Plus	295
	3	 1,352.92 	RESERVADO	Media Plus	295
	4	 1,689.05 	RESERVADO	Media Plus	295
	5	 2,335.75 	RESERVADO	Media Plus	295
	6	 2,721.31 	RESERVADO	Media Plus	295
	7	 2,151.63 	RESERVADO	Media Plus	295
	8	 1,000.00 	RESERVADO	Media Plus	295
	9	 1,609.58 	DISPONIBLE	Media Plus	295
	10	 1,384.40 	DISPONIBLE	Media Plus	295
	11	 1,403.70 	DISPONIBLE	Media Plus	295
	12	 1,003.96 	DISPONIBLE	Media Plus	295
	13	 1,003.97 	DISPONIBLE	Media Plus	295
	14	 1,003.98 	VENDIDO	Media Plus	295
	15	 1,003.98 	DISPONIBLE	Media Plus	295
	16	 1,234.67 	DISPONIBLE	Media Plus	295
	17	 1,514.03 	DISPONIBLE	Media Plus	295
	18	 1,071.78 	DISPONIBLE	Media Plus	295
	19	 1,071.78 	DISPONIBLE	Media Plus	295
	20	 1,071.78 	DISPONIBLE	Media Plus	295
	21	 1,071.78 	DISPONIBLE	Media Plus	295
	22	 1,071.03 	DISPONIBLE	Media Plus	295
	23	 1,035.24 	DISPONIBLE	Media Plus	295
	24	 1,120.68 	DISPONIBLE	Media  	265
	25	 1,389.76 	DISPONIBLE	Media  	265
	26	 2,054.17 	DISPONIBLE	Media  	265
	27	 1,725.05 	DISPONIBLE	Media  	265
	28	 1,298.43 	DISPONIBLE	Media Plus	295
	29	 1,267.92 	DISPONIBLE	Media Plus	295
	30	 1,000.00 	DISPONIBLE	Media Plus	295
	31	 1,107.14 	VENDIDO	Media Plus	295
	32	 1,088.70 	DISPONIBLE	Plus	355
	33	 1,619.11 	RESERVADO	Plus	355
	34	 1,488.67 	RESERVADO	Plus	355
	35	 1,415.96 	RESERVADO	Plus	355
	36	 1,267.26 	RESERVADO	Plus	355
	37	 1,464.32 	RESERVADO	Plus	355
	38	 1,575.43 	RESERVADO	Plus	355
	39	 1,243.09 	DISPONIBLE	Plus	355
	40	 1,004.52 	DISPONIBLE	Plus	355
	41	 1,000.00 	DISPONIBLE	Plus	355
	42	 1,049.58 	DISPONIBLE	Plus	355
	43	 4,107.51 	DISPONIBLE	Plus	355
